ID,Tick,Type,Carbon,Electricity
0,2,WIND,6739.844,24.35156
20,2,WIND,8137.548,25.284128
28,2,WIND,7200.0977,24.865278
25,2,WIND,8098.2017,25.126965
15,2,COAL,2955860.5,62.21297
19,2,WIND,7264.6665,25.388662
10,2,WIND,8504.135,25.793749
13,2,WIND,6640.559,24.610497
27,2,WIND,6721.631,23.983292
3,2,WIND,7460.358,25.35847
17,2,WIND,7506.157,24.993223
8,2,GAS,1068581.5,46.539146
24,2,WIND,6651.1177,23.760445
11,2,WIND,6050.552,23.06299
6,2,WIND,7764.456,24.815332
7,2,NUCLEAR,294137.84,157.67159
4,2,WIND,7883.7144,24.91258
23,2,WIND,6919.2275,23.697832
21,2,NUCLEAR,275168.06,147.56473
22,2,WIND,7456.8604,25.175554
26,2,WIND,7623.435,24.419252
12,2,WIND,8380.098,25.931793
16,2,WIND,7833.9736,25.89207
29,2,WIND,7873.0234,25.33749
1,2,WIND,7937.132,25.69948
5,2,WIND,7161.377,24.538786
2,2,COAL,3563987.2,67.40553
14,2,COAL,3474188.5,64.700485
18,2,WIND,8989.295,27.195137
9,2,WIND,6607.2324,24.09772
0,2,WIND,6747.9414,24.51953
20,2,WIND,8145.136,25.94775
28,2,WIND,8362.269,26.836536
25,2,WIND,7759.4717,25.657131
15,2,COAL,3977675.5,68.97142
19,2,WIND,9039.156,26.878105
10,2,NUCLEAR,272174.03,146.9814
13,2,WIND,6642.711,24.935638
27,2,WIND,6625.0186,24.324398
3,2,WIND,7808.844,25.977697
17,2,WIND,7743.1562,25.062355
8,2,GAS,1089644.2,47.95109
24,2,WIND,7432.5376,24.727228
11,2,WIND,7057.0776,24.900795
6,2,COAL,3887876.8,69.14297
4,2,WIND,7716.7686,25.640383
23,2,WIND,6406.3584,24.764517
21,2,NUCLEAR,297879.7,153.25835
22,2,WIND,8231.408,25.568089
26,2,WIND,7715.424,25.337355
12,2,WIND,7742.0806,25.94075
16,2,WIND,9108.093,26.311579
29,2,WIND,7828.17,25.457787
1,2,WIND,8627.352,26.562513
5,2,WIND,7604.572,24.897984
2,2,GAS,1188633.9,51.428978
14,2,COAL,3759939.0,65.88937
18,2,GAS,965379.56,45.687218
9,2,WIND,6845.974,24.395458
0,2,WIND,7392.471,24.579147
20,2,GAS,969957.1,44.39914
28,2,COAL,3516321.0,66.602455
25,2,WIND,8159.3716,26.669256
19,2,COAL,3230688.8,63.649548
10,2,NUCLEAR,259510.06,147.92244
13,2,WIND,7615.2935,25.766777
27,2,WIND,7169.258,24.643574
3,2,COAL,3478000.0,65.1584
17,2,WIND,7460.133,25.957298
8,2,NUCLEAR,324814.12,159.66449
24,2,WIND,6834.35,25.05015
11,2,WIND,7926.062,25.415773
6,2,COAL,4143087.2,70.14048
4,2,GAS,1212553.1,50.03327
23,2,WIND,7027.2383,24.98512
22,2,WIND,8428.468,26.046316
26,2,WIND,8722.708,26.272968
12,2,WIND,8619.991,26.404453
16,2,COAL,4506633.5,71.98824
29,2,WIND,8252.632,25.527035
1,2,WIND,8887.8,27.214397
5,2,WIND,7344.646,24.999165
2,2,NUCLEAR,271915.75,147.21257
14,2,COAL,3737989.2,67.59133
18,2,GAS,1110735.6,48.067585
9,2,WIND,7553.1367,25.050499
0,2,COAL,3763782.2,69.68195
20,2,GAS,1030071.1,46.50764
28,2,GAS,1260402.1,51.22458
25,2,COAL,3711692.5,66.948204
19,2,COAL,4151363.8,69.3232
13,2,GAS,950013.1,45.552925
27,2,WIND,8542.686,26.184864
3,2,GAS,1179818.5,47.38894
17,2,WIND,8391.698,26.174906
24,2,WIND,7323.545,25.60806
11,2,WIND,7331.0107,25.548046
6,2,COAL,4141573.5,72.900444
4,2,GAS,1237966.0,50.634285
23,2,WIND,8522.836,25.054527
22,2,WIND,8150.4424,26.170916
26,2,WIND,8573.484,27.36391
12,2,COAL,3649719.2,65.35566
16,2,GAS,1056652.9,47.89805
29,2,WIND,7741.7476,25.57192
1,2,COAL,3941350.5,70.17085
