Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
95,3.9875996E7,8.725144E7,5673432.5,515539.62,770.57446,3585.4182,3146.1646,1706.7144
96,3.9875996E7,8.725144E7,5673432.5,515539.62,770.57446,3585.4182,3146.1646,1706.7144
97,3.9875996E7,8.725144E7,5673432.5,515539.62,770.57446,3585.4182,3146.1646,1706.7144
98,3.9875996E7,8.561236E7,5673432.5,515539.62,770.57446,3529.6162,3146.1646,1706.7144
99,3.9875996E7,8.561236E7,5673432.5,515539.62,770.57446,3529.6162,3146.1646,1706.7144
100,3.9875996E7,8.561236E7,5673432.5,515539.62,770.57446,3529.6162,3146.1646,1706.7144
101,5.0822804E7,8.4135976E7,5673432.5,515539.62,973.8023,3475.8599,3146.1646,1706.7144
102,5.0822804E7,8.4135976E7,5673432.5,515539.62,973.8023,3475.8599,3146.1646,1706.7144
103,5.0822804E7,8.4135976E7,5673432.5,515539.62,973.8023,3475.8599,3146.1646,1706.7144
104,5.0822804E7,8.4135976E7,5673432.5,524926.5,973.8023,3475.8599,3146.1646,1734.0233
105,5.0822804E7,8.561236E7,5673432.5,524926.5,973.8023,3529.6162,3146.1646,1734.0233
106,5.0822804E7,8.4135976E7,5673432.5,531523.7,973.8023,3475.8599,3146.1646,1757.4025
107,5.0822804E7,8.561236E7,5673432.5,531523.7,973.8023,3529.6162,3146.1646,1757.4025
108,5.0822804E7,8.561236E7,5673432.5,531523.7,973.8023,3529.6162,3146.1646,1757.4025
109,5.0822804E7,8.561236E7,5673432.5,531523.7,973.8023,3529.6162,3146.1646,1757.4025
110,5.0822804E7,8.2869136E7,5673432.5,531523.7,973.8023,3426.1924,3146.1646,1757.4025
111,5.0822804E7,8.012184E7,5673432.5,531523.7,973.8023,3321.75,3146.1646,1757.4025
112,5.0822804E7,7.600204E7,5933498.5,531523.7,973.8023,3166.542,3293.2112,1757.4025
113,5.0822804E7,7.600204E7,5933498.5,540052.44,973.8023,3166.542,3293.2112,1783.9933
114,5.0822804E7,7.4714368E7,5933498.5,540052.44,973.8023,3116.7166,3293.2112,1783.9933
115,5.0822804E7,7.4714368E7,5933498.5,540052.44,973.8023,3116.7166,3293.2112,1783.9933
116,5.0822804E7,7.4714368E7,5933498.5,540052.44,973.8023,3116.7166,3293.2112,1783.9933
117,5.0822804E7,7.3449336E7,5933498.5,540052.44,973.8023,3066.605,3293.2112,1783.9933
118,5.0822804E7,7.2184848E7,5933498.5,540052.44,973.8023,3015.4612,3293.2112,1783.9933
119,5.0822804E7,7.094696E7,5933498.5,547541.7,973.8023,2965.515,3293.2112,1808.6273
120,5.0822804E7,7.094696E7,5933498.5,547541.7,973.8023,2965.515,3293.2112,1808.6273
121,5.0822804E7,6.9767808E7,5933498.5,547541.7,973.8023,2917.1455,3293.2112,1808.6273
122,5.0822804E7,6.998884E7,5933498.5,547541.7,973.8023,2922.6223,3293.2112,1808.6273
123,5.4726092E7,6.998884E7,5933498.5,547541.7,1045.8567,2922.6223,3293.2112,1808.6273
124,5.4726092E7,6.998884E7,5933498.5,547541.7,1045.8567,2922.6223,3293.2112,1808.6273
125,5.4726092E7,6.8750952E7,5933498.5,547541.7,1045.8567,2872.6763,3293.2112,1808.6273
126,5.4726092E7,6.7532464E7,5933498.5,547541.7,1045.8567,2820.7617,3293.2112,1808.6273
127,5.4726092E7,6.7532464E7,5933498.5,556568.3,1045.8567,2820.7617,3293.2112,1835.7799
128,5.4726092E7,6.7533944E7,5933498.5,556568.3,1045.8567,2819.7456,3293.2112,1835.7799
129,5.4726092E7,6.757328E7,5933498.5,564499.9,1045.8567,2823.2908,3293.2112,1860.4915
130,5.4726092E7,6.6454852E7,5933498.5,564499.9,1045.8567,2774.463,3293.2112,1860.4915
131,5.4726092E7,6.660472E7,5933498.5,564499.9,1045.8567,2773.8135,3293.2112,1860.4915
132,5.4726092E7,6.660472E7,5933498.5,564499.9,1045.8567,2773.8135,3293.2112,1860.4915
133,5.4726092E7,6.5407176E7,5933498.5,570981.4,1045.8567,2726.3992,3293.2112,1883.8326
134,5.4726092E7,6.5407176E7,5933498.5,570981.4,1045.8567,2726.3992,3293.2112,1883.8326
135,5.4726092E7,6.65256E7,5933498.5,570981.4,1045.8567,2775.2268,3293.2112,1883.8326
136,5.4726092E7,6.5407176E7,5933498.5,579571.44,1045.8567,2726.3992,3293.2112,1909.3424
137,5.4726092E7,6.5407176E7,5933498.5,579571.44,1045.8567,2726.3992,3293.2112,1909.3424
138,5.4726092E7,6.5407176E7,5933498.5,579571.5,1045.8567,2726.3992,3293.2112,1909.3424
139,5.4726092E7,6.5537436E7,5933498.5,579571.44,1045.8567,2730.2842,3293.2112,1909.3424
140,5.4726092E7,6.5537436E7,5933498.5,579571.44,1045.8567,2730.2842,3293.2112,1909.3424
141,5.4726092E7,6.6771028E7,5933498.5,579571.5,1045.8567,2780.678,3293.2112,1909.3424
142,5.4726092E7,6.6771028E7,5933498.5,579571.5,1045.8567,2780.678,3293.2112,1909.3424
143,5.4726092E7,6.6771028E7,5933498.5,579571.44,1045.8567,2780.678,3293.2112,1909.3424
144,5.4726092E7,6.5584464E7,5933498.5,579571.44,1045.8567,2729.9006,3293.2112,1909.3424
145,5.4726092E7,6.5584464E7,5933498.5,586830.25,1045.8567,2729.9006,3293.2112,1933.5973
146,5.4726092E7,6.5584464E7,5933498.5,586830.2,1045.8567,2729.9006,3293.2112,1933.5973
